Checked,Original title,Local title,Year,Media type,Type,Edition,Country,Case,Discs,Sub-fi,Sub-en,Aspect ratio,Running time,Director,Status,Condition,Notes,Watched,Rental,Slip Cover,Hologram,Id,Barcode,IMDB,Collection Id,Series,Publisher,Studio,Vihkonen,Kohtausluettelo,2 Sided Disc,2 Sided Cover
no,¡Átame!,Tie Me Up! Tie Me Down!,1990,Movie,DVD,,United Kingdom,,1,no,yes,1.85:1,97,Pedro Almodóvar,Owned,,,no,no,no,no,2778,0,tt0101026,,,,,,,,
yes,¿Qué he hecho yo para merecer esto!!,Mitä olen tehnyt ansaitakseni tämän?,1984,Movie,DVD,,Finland,,1,yes,no,1.85:1,97,Pedro Almodóvar,Owned,Fair,kevyttä jälkeä siellä täällä,no,no,no,no,451,5706550024750,tt0088461,,,,,,,,
yes,... And Justice for All,... ja oikeutta kaikille,1979,Movie,DVD,Deluxe Edition,Finland,,1,yes,yes,1.85:1,114,Norman Jewison,Owned,Fair,,no,no,no,no,2158,5051160220116,tt0078718,,,,,,,,
yes,... And Justice for All,,1979,Movie,DVD,,Nordic,,,yes,,,,Norman Jewison,Owned,Good,,no,no,no,no,,,tt0078718,7617,,,,,,,
yes,...continuavano a chiamarlo Trinità,Trinity ratsastaa jälleen,1971,Movie,DVD,,Finland,,1,yes,no,1.85:1,113,Enzo Barboni,Owned,Excellent,,no,no,no,no,3365,6416548908113,tt0068154,,,,,,,,
no,...E tu vivrai nel terrore! L'aldilà,Rædslernes Hotel: The Beyond,1981,Movie,DVD,,Denmark,,1,yes,no,2.35:1,89,Lucio Fulci,Owned,Still Wrapped,,no,no,no,no,5461,5709498010038,tt0082307,,,,,no,no,no,
no,...E tu vivrai nel terrore! L'aldilà,The Beyond,1981,Movie,Blu-ray,,United Kingdom,,1,no,no,,0,Lucio Fulci,Owned,,,no,no,no,no,7427,5060162232140,tt0082307,,,,,no,no,no,
yes,...Più forte ragazzi!,Siitä vaan pojat!,1972,Movie,DVD,,Finland,,1,yes,no,1.85:1,89,Giuseppe Colizzi,Owned,Poor - Slightly Damaged,,no,no,no,no,6720,6416548908212,tt0069095,,,,,no,no,no,
no,(500) Days of Summer,,2009,Movie,Blu-ray,,Finland,,1,no,no,2.40:1,95,Marc Webb,Owned,Excellent,,no,no,no,no,7795,6438044238563,tt1022603,,,,,no,no,no,
yes,[Rec],[Rec],2007,Movie,DVD,,Finland,,2,yes,no,1.78:1,75,"Jaume Balagueró, Paco Plaza",Owned,Fair,,no,no,no,no,489,6416548483214,tt1038988,,,,,,,,
yes,[Rec] ²,[Rec] 2 - The Virus is Back,2009,Movie,DVD,,Finland,,1,yes,no,1.77:1,81,"Jaume Balagueró, Paco Plaza",Owned,Excellent,,no,no,no,no,490,6438194014314,tt1245112,,,,,,,,
yes,[REC] 4: Apocalipsis,[REC] Apocalypse,2014,Movie,DVD,,Finland,,1,yes,no,,0,Jaume Balagueró,Owned,Excellent,,no,no,no,no,3800,6430051161841,tt1649443,,Night Visions,,,,,,
yes,[REC] 4: Apocalipsis,[Rec] 4: Apocalypse,2014,Movie,Blu-ray,,Sweden,,1,yes,no,1.85:1,91,Jaume Balagueró,Owned,Still Wrapped,,no,no,no,no,8186,7340110407447,tt1649443,,,,,no,no,no,
yes,[Rec]³: Génesis,[REC]: Genesis,2012,Movie,DVD,,Finland,,1,yes,no,,0,Paco Plaza,Owned,Excellent,,no,yes,no,no,3720,6430051161520,tt1649444,,Night Visions,,,,,,
no,10 Cloverfield Lane,,2016,Movie,Blu-ray,,Finland,,1,yes,no,2.40:1,104,Dan Trachtenberg,Owned,,,no,no,no,no,8559,7340112729950,tt1179933,,,,,no,no,no,
no,10 Things I Hate About You,,1999,Movie,DVD,,Finland,,1,no,no,1.85:1,93,Gil Junger,Owned,,,no,no,no,no,8166,7393834139903,tt0147800,,,,,no,no,no,
no,"10,000 BC",,2008,Movie,Blu-ray,,Nordic,,1,yes,yes,2.40:1,108,Roland Emmerich,Owned,Good,,no,no,no,no,6334,5051895033555,tt0443649,,,,,no,no,no,
yes,100 Feet,,2008,Movie,DVD,Unrated and Uncut,Finland,,1,yes,no,2.35:1,96,Eric Red,Owned,Excellent,,no,no,no,no,4378,7340066995746,tt0899128,,,,,,,,
yes,101 Dalmatians,101 Dalmatialaista,1961,Movie,DVD,2-levyinen juhlajulkaisu,Finland,,2,yes,yes,1.33:1,76,Clyde Geronimi,Owned,Good,mainoslappunen mukana,no,no,yes,no,4153,8717418140328,tt0055254,,Walt Disney klassikot,,,,,,
no,101 Reykjavík,101 Reykjavik,2000,Movie,DVD,,Finland,,1,no,no,,0,Baltasar Kormákur,Owned,Still Wrapped,,no,no,no,no,5613,6415018623761,tt0237993,,,,,no,no,no,
yes,11-11-11,,2011,Movie,Blu-ray,,Nordic,,1,yes,no,2.35:1,92,Darren Lynn Bousman,Owned,Good,,no,no,no,no,5065,5706140581090,tt1712159,,,,,no,no,no,
no,11.22.63,,2016,TV Serie,DVD,,Finland,,2,yes,yes,1.78:1,421,"James Strong, Fred Toye, John David Coles, James Franco, Kevin Macdonald",Owned,,,no,no,no,no,3515,5051895404973,tt2879552,,,,,,,,
no,11.22.63,,2016,TV Serie,Blu-ray,,Finland,,1,no,no,,0,"James Strong, Frederick E.O. Toye, John David Coles, James Franco, James Kent, Kevin Macdonald",Owned,,,no,no,no,no,8557,5051895404966,tt02879552,,,,,no,no,no,
no,12 Rounds,,2009,Movie,DVD,,Finland,,2,no,no,,-1,Renny Harlin,Owned,Excellent,,no,no,no,no,6581,6438044212754,tt1160368,,,,,no,no,no,
yes,12 Years a Slave,,2013,Movie,Blu-ray,,Nordic,,1,yes,yes,2.40:1,134,Steve McQueen,Owned,Excellent,,no,no,no,no,3528,5704028221779,tt2024544,,,,,,,,
yes,12 Years a Slave,,2013,Movie,DVD,,Finland,,1,yes,no,,0,Steve McQueen,Owned,Excellent,,no,no,yes,no,6435,6438044383355,tt2024544,,,,,no,no,no,
no,127 Hours,127 tuntia,2010,Movie,DVD,,Finland,,1,no,no,1.85:1,94,Danny Boyle,SaleOrTrade,,,no,no,no,no,613,6438044293357,tt1542344,,,,,,,,
yes,127 Hours,127 Tuntia,2010,Movie,Blu-Ray+DVD,,Finland,,2,no,no,,94,Danny Boyle,Owned,Excellent,,no,no,no,no,1713,6438044293364,tt1542344,,,,,,,,
yes,13 Game Sayawng,13,2006,Movie,DVD,,Finland,,1,yes,no,,0,Chookiat Sakveerakul,Owned,Good,,no,no,no,no,7496,5706132392840,tt0883995,,,,,no,no,no,
yes,13 Hours,,2016,Movie,DVD,,Nordic,,1,yes,yes,2.40:1,139,Michael Bay,Owned,Still Wrapped,,no,no,no,no,4320,7340112727215,tt4172430,,,,,,,,
no,13 Rue Madeleine,,1947,Movie,DVD,,Finland,,1,no,no,,0,Henry Hathaway,Owned,,,no,no,no,no,8325,7391772395139,tt0038279,,,,,no,no,no,
no,1408,,2007,Movie,Blu-ray,Directors Cut,Finland,,1,yes,no,2.35:1,112,Mikael Håfström,Owned,Excellent,,no,no,no,no,6568,6416548477534,tt0450385,,,,,no,no,no,
yes,1408,,2007,Movie,DVD,2 Discs Special Edition - Alternative Endings,Finland,,2,yes,no,2.35:1,100,Mikael Håfström,Owned,Excellent,,no,no,yes,no,636,6416548477510,tt0450385,,,,,,,,
no,1492: Conquest of Paradise,1492: Paratiisin Valloitus,1992,Movie,DVD,,Finland,,1,yes,no,1.85:1,142,Ridley Scott,Owned,Excellent,,no,no,no,no,5007,6416548802114,tt0103594,,,,,no,no,no,
no,15 minutes,,2001,Movie,DVD,,Sweden,,1,yes,no,2.35:1,114,John Herzfeld,Owned,,,no,no,no,no,8528,7391772362629,tt0179626,,,,,no,no,no,
no,15 Minutes,15 minuuttia,2000,,DVD,,Finland,,1,yes,no,2.35:1,116,John Herzfeld,Owned,,,no,no,no,no,8434,6420614607756,tt0179626,,,,,no,no,no,
yes,16 Blocks,,2006,Movie,DVD,,Nordic,,1,yes,no,2.35:1,97,Richard Donner,Owned,Good,,no,no,no,no,143,5706141784131,tt0450232,,,,,,,,
no,16 Blocks,,2006,Movie,Blu-ray,,Nordic,,1,yes,no,2.35:1,97,Richard Donner,Owned,Excellent,,no,no,no,no,7820,5706140584138,tt0450232,,,,,no,no,no,
yes,16 Years of Alcohol,Frankie Mac - 16 Years of Alcohol,2003,Movie,DVD,,Finland,,1,yes,no,,0,Richard Jobson,Owned,Fair,,no,no,no,no,1337,6416548452616,tt0331338,,,,,,,,
yes,17 Again,,2009,Movie,Blu-ray,,Finland,,1,yes,no,,0,Burr Steers,Owned,Still Wrapped,,no,no,no,no,3358,6438044212860,tt0974661,,,,,,,,
yes,187,,1997,Movie,DVD,,Nordic,,1,yes,no,1.33:1,114,Kevin Reynolds,Owned,Fair,,no,no,no,no,2991,5706141739544,tt0118531,,,,,,,,
no,1917,,2019,Movie,Blu-ray,,Finland,,1,yes,no,2.40:1,120,Sam Mendes,Owned,,,no,no,no,no,8048,7332421065171,tt8579674,,,,,no,no,no,
no,1941,"1941 - anteeksi, missä on Hollywood?",1979,Movie,DVD,,Finland,,2,no,no,,-1,Steven Spielberg,Owned,Fair,1 levyllä kevyttä jälkeä,yes,no,no,no,6111,6416548530710,tt0078723,,,,,no,no,no,
yes,1941,"1941 - Anteeksi, missä on Hollywood?",1979,Movie,DVD,2-Disc Special Edition - Cinema Cut & Director's Cut,Finland,,2,yes,no,2.35:1,118,Steven Spielberg,SaleOrTrade,Good,,no,no,no,no,1798,6416548924915,tt0078723,,,,,,,,
yes,1969,,1988,Movie,DVD,,Finland,,1,yes,yes,1.85:1,92,Ernest Thompson,Owned,Fair,,no,no,no,no,4016,6438044036756,tt0094594,,,,,,,,
no,1990: I guerrieri del Bronx,The Bronx Warriors,1982,Movie,DVD,,United Kingdom,,1,no,yes,2.35:1,89,Enzo G. Castellari,Owned,,,no,no,no,no,5660,0,tt0085124,,,,,no,no,no,
yes,2 Days in Paris,2 päivää Pariisissa,2007,Movie,DVD,,Finland,,1,yes,no,1.85:1,96,Julie Delpy,Owned,Fair,,no,no,no,no,4234,6416335177777,tt0841044,,Rakkautta ja anarkiaa,,,,,,
yes,2 Fast 2 Furious,,,Movie,Blu-ray,,Nordic,,1,yes,yes,,,,Owned,Excellent,,no,no,no,no,,,,3351,,,,,,,
no,2 Fast 2 Furious,,2003,Movie,DVD,,Finland,,1,yes,yes,2.35:1,105,John Singleton,Owned,,,no,no,no,no,8444,5050582063318,tt0322259,,,,,no,no,no,
yes,2 Guns,,2013,Movie,Blu-ray,,Nordic,,1,yes,yes,2.40:1,109,Baltasar Kormákur,Owned,Excellent,,no,no,no,no,3867,5051162321576,tt1272878,,,,,,,,
no,"20,000 Leagues Under the Sea",,1954,Movie,DVD,,United Kingdom,,1,yes,yes,2.55:1,122,Richard Fleischer,Owned,,,no,no,no,no,6302,5017188810029,tt0046672,,,,,no,no,no,
yes,2001 Maniacs,,2005,Movie,DVD,,Finland,,1,yes,no,,0,Tim Sullivan,Owned,Fair,,no,no,no,no,4472,6420201171950,tt0264323,,,,,,,,
yes,2001: A Space Odyssey,2001: Avaruusseikkailu,1968,,DVD,Stanley Kubrick Collection,Finland,,1,yes,yes,2.20:1,143,Stanley Kubrick,Owned,Fair,,no,no,no,no,6253,7321944650001,tt0062622,,,,,no,no,no,
yes,2001: A Space Odyssey,,1968,Movie,DVD,Stanley Kubrick Collection,United Kingdom,,1,yes,yes,2.21:1,143,Stanley Kubrick,Owned,Excellent,,no,no,no,no,504,7321900650007,tt0062622,,,,,,,,
no,2001: A Space Odyssey,,1968,Movie,Blu-ray,,United Kingdom,,1,yes,yes,2.20:1,148,Stanley Kubrick,Owned,,,no,no,no,no,5963,7321900798389,tt0062622,,,,,no,no,no,
no,2001: a space odyssey,,0,,Blu-ray,0,Finland,,0,no,no,,0,,Owned,,,no,no,no,no,1500,0,,,,,,,,,
yes,2001: A Space Travesty,Pelastakaa pressa,2000,Movie,DVD,,Finland,,1,yes,no,1.33:1,94,Allan A. Goldstein,Owned,Poor - Slightly Damaged,,no,no,no,no,3102,5706132350932,,,,,,,,,
yes,2009: Lost Memories,,2002,Movie,DVD,,Finland,,1,yes,no,1.78:1,131,Si-myung Lee,Owned,Fair,,no,no,yes,no,7078,5050582278910,tt0294252,,,,,no,no,no,
yes,2012,,2009,Movie,DVD,,Finland,,1,yes,yes,2.40:1,151,Roland Emmerich,Owned,Excellent,,no,no,yes,no,875,5051160265216,tt1190080,,,,,,,,
yes,2012,,2009,Movie,Blu-ray,,Finland,,1,yes,yes,1.85:1,158,Roland Emmerich,Owned,Excellent,,no,no,no,no,8538,5051160265278,tt1190080,,,,,no,no,no,
no,2019 - Dopo la caduta di New York,2019: After the Fall of New York,1983,Movie,DVD,,Denmark,,1,yes,no,1.85:1,96,Sergio Martino,Owned,,,no,no,no,no,5541,5709498013466,tt0085125,,,,,no,no,no,
no,2046,,2004,Movie,DVD,,Finland,,1,yes,no,2.35:1,123,Kar Wai Wong,Owned,,,no,no,no,no,4232,6416335176978,tt0212712,,,,,,,,
yes,2046,,2004,Movie,DVD,,Sweden,,1,yes,no,2.35:1,123,Wong Kar-wai,Owned,Excellent,,no,no,no,no,3872,7321939941343,tt0212712,,,,,,,,
yes,20th Century Boys: The Complete Saga,,2009,Movie,DVD,,United Kingdom,,4,no,yes,1.85:1,437,Yukihiko Tsutsumi,Owned,Poor - Slightly Damaged,,no,no,no,no,7177,5034741381413,tt1181919,,,,,no,no,no,
no,20th Century Women,,2016,Movie,Blu-ray,,Finland,,1,yes,no,2.00:1,118,Mike Mills,Owned,,,no,no,no,no,6095,5706168999051,tt4385888,,,,,no,no,no,
yes,21 Grams,21 Grammaa,2003,Movie,DVD,,Finland,,1,yes,no,1.85:1,119,Alejandro González Iñárritu,Owned,Good,,no,no,no,no,862,5706550024293,tt0315733,,,,,,,,
yes,21 Jump Street: Season 1,21 Jump Street: Kausi 1,1987,TV Serie,DVD,,Finland,,1,no,no,1.33:1,540,"Kim Manners, Bill Corcoran, James Whitmore Jr., Jorge Montesi, Jefferson Kibbee, Neill Fearnley, James A. Contner, David Nutter, David Jackson, Larry Shaw, Mario Van Peebles, Peter Deluise, Brenton Spencer, Steve Beers, Michael Robison, Daniel Attias, Tucker Gates, Ken Wiederhorn, Zale Dalen, Brad Turner, Rob Bowman, Kevin Hooks, Les Sheldon, Gary Winter, Jonathan Wacks, Jeffrey Auerbach, Robert Iscove, Jan Eliasberg, Peter D. Marshall, Steven Williams",Owned,Fair,"2. levyllä pieni naarmu, muut excellent",no,no,no,no,5820,6416548481814,tt0092312,,,,,no,no,no,
yes,21 Jump Street: Season 2,21 Jump Street: Kausi 2,1988,TV Serie,DVD,,Finland,,1,yes,no,,0,,Owned,Still Wrapped,,no,no,no,no,5821,6416548481913,tt0092312,,,,,no,no,no,
no,24 DVD-Movies,,0,,DVD,,Finland,,1,no,no,,0,,Owned,,,no,no,no,no,5598,5709884128002,tt0000000,,,,,no,no,no,
yes,24 Hour Party People,,2002,Movie,DVD,,Finland,,1,yes,no,1.85:1,112,Michael Winterbottom,Owned,Excellent,,no,no,no,no,728,6416548443713,tt0274309,,,,,,,,
yes,24 Season 6,24: 6. tuotantokausi,2007,TV Serie,DVD,,Finland,,7,yes,yes,1.78:1,1080,Jon Cassar,Owned,Poor - Slightly Damaged,"1. g, 2. fair, 3. g, 4. fair, 5. g, 6. poor, 7. poor",no,no,no,no,8401,6438044154054,tt0285331,,,,,no,no,no,
yes,24: Redemption,,2008,,DVD,,Finland,,1,yes,yes,1.78:1,83,Jon Cassar,Owned,Fair,,no,no,no,no,8545,6438044198355,tt0813980,,,,,no,no,no,
yes,24: Season One,24: 1. tuotantokausi,2001,TV Serie,DVD,,Finland,,6,yes,yes,1.78:1,1008,"Stephen Hopkins, Winrich Kolbe, Bryan Spicer, Davis Guggenheim, Jon Cassar, Frederick King Keller, Paul Shapiro",Owned,Poor - Slightly Damaged,"1. poor, 2. fair, 3. g, 4. fair, 5. fair, 6. g",no,no,no,no,8343,6420614653951,tt0285331,,,,,yes,no,no,
yes,24: Season Three,24: 3. tuotantokausi,2003,TV Serie,DVD,,Finland,,7,yes,yes,1.78:1,1080,"Jon Cassar, Ian Toynton, Brad Turner, Bryan Spicer, Kevin Hooks, Frederick King Keller",Owned,Fair,"1. ex, 2. ex, 3. fair, 4. fair, 5. ex, 6. good, 7. good",no,no,no,no,8447,6438044045758,tt0285331,,,,,no,no,no,
yes,24: Season Two,24: 2. tuotantokausi,2003,TV Serie,DVD,,Finland,,7,yes,yes,1.78:1,1080,"Jon Cassar, James Whitmore Jr., Rodney Charters, Frederick King Keller, Ian Toynton",Owned,Fair,"1. ex, 2. ex, 3. fair, 4. fair, 5. g, 6. fair, 7. fair (paperipussissa)",no,no,no,no,8344,6438044011654,tt0285331,,,,,yes,no,no,
yes,25th Hour,25th hour - viimeinen ilta,2002,Movie,DVD,,Finland,,1,yes,yes,2.35:1,129,Spike Lee,Owned,Excellent,,no,no,no,no,1667,7393834334308,tt0307901,,,,,,,,
no,25th Hour,,2003,Movie,DVD,,United Kingdom,,1,yes,yes,2.35:1,129,Spike Lee,SaleOrTrade,,,no,no,no,no,767,5017188888516,tt0307901,,,,,,,,
yes,28 Days,28 päivää,2000,Movie,DVD,,Finland,,1,yes,yes,1.85:1,100,Betty Thomas,Owned,Good,,no,no,no,no,6963,6420201094877,tt0191754,,,Egmont,,no,no,no,
yes,28 Days Later,28 päivää myöhemmin,2002,Movie,DVD,,Finland,,1,yes,yes,1.85:1,112,Danny Boyle,Owned,Good,,no,no,no,no,1188,6420614646458,tt0289043,,,,,,,,
no,28 Days Later,,2002,Movie,Blu-ray,,Nordic,,1,yes,no,1.85:1,113,Danny Boyle,Owned,Still Wrapped,,no,no,no,no,6444,7340112703486,tt0289043,,,,,no,no,no,
no,28 Days Later / 28 Weeks Later,28 Dagar Senare / 28 Veckor Senare,1900,Movie,DVD,,Sweden,,2,no,no,,208,,SaleOrTrade,,,no,no,no,no,131,7391772318466,tt0000000,,,,,,,,
no,28 Days Later / 28 Weeks Later,,1900,Movie,DVD,,Finland,,1,no,no,,0,,Owned,,,no,no,no,no,8590,6438044194456,tt0000000,,,,,no,no,no,
yes,28 Weeks Later,28 viikkoa myöhemmin,2007,Movie,DVD,,Finland,,1,yes,yes,1.85:1,96,Juan Carlos Fresnadillo,Owned,Excellent,,no,no,no,no,3447,6438044131451,tt0463854,,,,,,,,
yes,3 A.M.,3 A.M. - tappovuoro,2001,Movie,DVD,,Finland,,1,yes,no,,0,Lee Davis,Owned,Fair,,no,no,no,no,6184,5706132363024,tt0248661,,,,,no,no,no,
yes,3-4 x Jûgatsu,Boiling Point,1990,Movie,DVD,,United Kingdom,,1,no,yes,1.78:1,92,Takeshi Kitano,Owned,Excellent,,no,no,no,no,3661,5024571700584,tt0098967,,,,,,yes,,
no,3:10 to Yuma,,1957,Movie,DVD,,United Kingdom,,1,yes,yes,1.85:1,88,Delmer Daves,Owned,,,no,no,no,no,8146,5035822101036,tt0050086,,,,,no,no,no,
no,3:10 to Yuma,Klo 15:10 lähtö Yumaan,2007,Movie,Blu-ray,,Finland,,1,no,no,,0,James Mangold,Owned,Excellent,,no,no,no,no,6586,6438044161465,tt0381849,,,,,no,no,no,
yes,3:10 to Yuma,Klo 15:10 Lähtö Yumaan,2007,Movie,DVD,Kahden levyn Special Edition,Finland,,2,yes,no,2.35:1,98,James Mangold,Owned,Fair,,yes,no,no,no,2169,6438044161458,tt0381849,,,,,,,,
no,30 Days of Night,30 päivää kaamosta,2007,Movie,DVD,,Finland,,1,no,no,,0,David Slade,SaleOrTrade,,,no,no,no,no,2277,6438252178996,tt0389722,,,,,,,,
yes,30 Days of Night,30 päivää kaamosta,2007,Movie,DVD,,Finland,,1,yes,no,2.40:1,113,David Slade,Owned,Excellent,,no,no,yes,no,2297,6420201178997,tt0389722,,,,,,,,
yes,30 Days of Night,,2007,Movie,DVD,Special Edition 2 DVD set with 48-page Graphic Novel & Slipcase,United Kingdom,,2,no,yes,1.78:1,109,David Slade,Owned,Poor - Slightly Damaged,,no,no,yes,no,118,5051429101316,tt0389722,,,,,,,,
yes,30 Days of Night,,2007,Movie,Blu-ray,,Nordic,,1,yes,no,2.35:1,112,David Slade,Owned,Excellent,,no,no,no,no,3136,5708758673327,tt0389722,,,,,,,,
yes,30 Days of Night: Dark Days,30 päivää kaamosta 2: Dark Days,2010,Movie,DVD,,Finland,,1,yes,no,,0,Ben Ketai,Owned,Excellent,,no,no,no,no,2126,5051160274812,tt1320304,,,,,,,,
yes,30 Minutes or Less,30 minutes or less,2011,Movie,DVD,,Finland,,1,yes,yes,2.40:1,80,Ruben Fleischer,Owned,Excellent,,no,no,no,no,1542,5051160288819,tt1622547,,,,,,,,
yes,30 Minutes or Less,,2011,Movie,Blu-ray,,Nordic,,1,yes,yes,2.35:1,83,Ruben Fleischer,Owned,Excellent,,no,no,no,no,5076,5051162288879,tt1622547,,,,,no,no,no,
no,300,,2007,Movie,DVD,Two-Disc Special Edition,United Kingdom,,2,no,yes,2.40:1,120,Zack Snyder,Owned,,,no,no,no,no,40,7321902162850,tt0416449,,,,,,,,
yes,300,,2006,Movie,Blu-ray,,Finland,,1,yes,yes,2.40:1,116,Zack Snyder,Owned,Good,,no,no,no,no,1125,7321946161031,tt0416449,,,,,,,,
yes,300: Rise of an Empire,,2014,Movie,DVD,,Nordic,,1,yes,yes,2.40:1,98,Noam Murro,Owned,Excellent,,no,no,no,no,5728,5051895255834,tt1253863,,,,,no,no,no,
yes,3096 Tage,3096 Päivää: Natascha Kampuschin Tarina,2013,Movie,DVD,,Finland,,1,yes,no,,0,Sherry Hormann,Owned,Good,,no,no,no,no,8492,6416548577418,tt1667355,,,,,no,no,no,
yes,36 Quai des Orfèvres,Vallan Piiri,2004,Movie,DVD,,Finland,,1,yes,no,,0,Olivier Marchal,Owned,Good,,no,no,no,no,5450,6420201169179,tt0390808,,,,,no,no,no,
yes,360,,2011,Movie,DVD,,Finland,,1,no,no,,0,Fernando Meirelles,Owned,Excellent,,no,no,no,no,3154,6438044355758,tt1680045,,,,,,,,
yes,37°2 le matin,Betty Blue,1986,Movie,DVD,Director's Cut,United Kingdom,,1,no,yes,1.66:1,178,Jean-Jacques Beineix,Owned,Good,,no,no,no,no,3246,5035822935334,tt0090563,,,,,,,,
yes,388 Arletta Avenue,,2011,Movie,DVD,,Sweden,,1,no,no,1.78:1,87,Randall Cole,Owned,Still Wrapped,,no,no,no,no,7383,3387010018247,tt1767272,,,,,no,no,no,
no,4 Films to Keep You Awake,,1900,Movie,DVD,,Finland,,1,no,no,,0,,Owned,,,no,no,no,no,6271,6416548468716,tt0000000,,,,,no,no,no,
yes,"4 luni, 3 saptamâni si 2 zile","4 kuukautta, 3 viikkoa, 2 päivää",2007,Movie,DVD,,Finland,,1,yes,no,2.35:1,109,Cristian Mungiu,Owned,Still Wrapped,,no,no,no,no,1495,6416335177883,tt1032846,,Rakkautta ja anarkiaa,,,,,,
no,4 mosche di velluto grigio,Four Flies on Grey Velvet,1971,Movie,DVD,40th Anniversary Edition,United Kingdom,,1,no,no,,100,Dario Argento,Owned,,,no,no,no,no,5659,5060162230351,tt0066735,,,,,no,no,no,
no,42,,2013,Movie,Blu-ray,,Nordic,,1,no,no,,0,Brian Helgeland,Owned,Excellent,,no,no,no,no,6649,5051895243800,tt0453562,,,,,no,no,no,
no,45 Years,45 År,2015,Movie,DVD,,Sweden,,1,no,no,,0,Andrew Haigh,Owned,,,no,no,no,no,8565,7350036725778,tt3544082,,,,,no,no,no,
yes,47 Ronin,,2013,Movie,Blu-ray,,Nordic,,1,yes,yes,2.40:1,118,Carl Rinsch,Owned,Excellent,,no,no,no,no,3765,5053083000899,tt1335975,,,,,,,,
yes,48 Hrs.,48 Tuntia,1982,Movie,DVD,,Finland,,1,yes,yes,1.85:1,97,Walter Hill,Owned,Excellent,,no,no,no,no,3740,7332431019508,tt0083511,,,,,,,,
yes,5 huajai hero,Force of Five,2009,Movie,DVD,Ultimate Edition,United Kingdom,,1,no,yes,,73,Krissanapong Rachata,Owned,Poor - Slightly Damaged,,no,no,no,no,7169,5060085364751,tt1401690,,,,,no,no,no,
yes,50/50,,2011,Movie,Blu-ray,,Finland,,1,yes,no,,0,Jonathan Levine,Owned,Still Wrapped,,no,no,no,no,3411,6416548557038,tt1306980,,,,,,,,
no,50/50,,2011,,DVD,,Finland,,1,no,no,,96,Jonathan Levine,SaleOrTrade,,,no,no,yes,no,3952,6416548557014,tt1306980,,,,,,,,
yes,52 Pick-Up,Pahan otteessa,1986,Movie,DVD,,Finland,,1,yes,no,,0,John Frankenheimer,Owned,Fair,,no,no,no,no,3327,6438044025453,tt0090567,,,,,,,,
yes,55 Days at Peking,55 Päivää Pekingissä,1963,Movie,DVD,,Finland,,1,yes,no,,0,Nicholas Ray,Owned,Excellent,,no,no,no,no,4359,5709165724220,tt0056800,,,,,,,,
yes,6 donne per l'assassino,Blood and Black Lace,1964,Movie,Blu-ray,Special Edition,United Kingdom,,1,no,yes,1.66:1,89,Mario Bava,Owned,Excellent,,no,no,no,no,7134,5027035018836,tt0058567,,,,,no,no,no,
no,6 Souls,Shelter,2010,Movie,Blu-ray,,Finland,,1,yes,no,2.35:1,112,"Bjorn Stein, Mans Marlind",Owned,Excellent,,no,no,no,no,5190,5706140587191,tt1179069,,,,,no,no,no,
yes,"7, Hyden Park: la casa maledetta",Formula for a Murder,1985,Movie,DVD,,United Kingdom,,1,no,yes,,85,,Owned,Still Wrapped,,no,no,no,no,7413,5060162230511,tt0086288,,,,,no,no,no,
no,70's Show - 1. tuotantokausi,,0,,DVD,,Finland,,1,no,no,,0,,Owned,,,no,no,no,no,4365,6415750021610,tt0000000,,,,,,,,
no,70's Show - 2. tuotantokausi,,0,,DVD,,Finland,,1,no,no,,0,,Owned,,,no,no,no,no,4366,6415750021627,tt0000000,,,,,,,,
no,71 Fragmente einer Chronologie des Zufalls,71 Katkelmaa erään sattuman kronologiasta,1994,Movie,DVD,,Finland,,1,no,no,1.78:1,95,Michael Haneke,Owned,Still Wrapped,,no,no,no,no,8036,0,tt0109020,,,,,no,no,no,
yes,8 Femmes,8 Naista,2002,Movie,DVD,Special Edition,Finland,,2,yes,no,,0,François Ozon,Owned,Fair,,no,no,no,no,3830,6416548443515,tt0283832,,,,,,,,
yes,8 Mile,,2002,Movie,DVD,,Finland,,1,yes,yes,2.35:1,106,Curtis Hanson,Owned,Excellent,,no,no,no,no,3363,5050582006872,tt0298203,,,,,,,,
no,8-pallo,,2013,Movie,DVD,,Finland,,1,no,no,2.35:1,103,Aku Louhimies,SaleOrTrade,,,no,no,no,no,3162,6420201157695,tt2378177,,,,,,,,
yes,8-Pallo,,2013,Movie,Blu-ray,,Finland,,2,yes,yes,2.35:1,107,Aku Louhimies,Owned,Excellent,,no,no,no,no,4059,6418471157699,tt2378177,,,,,,,,
yes,8½,,1963,Movie,DVD,,Finland,,1,yes,no,1.78:1,132,Federico Fellini,Owned,Good,,no,no,no,no,1529,6416335177258,tt0056801,,Rakkautta ja anarkiaa,,,,,,
yes,9,,2009,Movie,Blu-ray,,Finland,,1,yes,yes,1.85:1,80,Shane Acker,Owned,Excellent,,no,no,no,no,1606,6438137058320,tt0472033,,,,,,,,
yes,9 rota,The Ninth Legion,2005,Movie,DVD,,Nordic,,1,yes,no,2.35:1,133,Fyodor Bondarchuk,Owned,Excellent,,no,no,no,no,3303,5706147985815,tt0417397,,,,,,,,
yes,9 To 5,,1980,Movie,DVD,,United Kingdom,,1,no,yes,1.85:1,105,Colin Higgins,Owned,Good,,no,no,no,no,5861,5039036025973,tt0080319,,,,,no,no,no,
