Checked,Original title,Local title,Year,Media type,Type,Edition,Country,Case,Discs,Sub-fi,Sub-en,Aspect ratio,Running time,Director,Status,Condition,Notes,Watched,Rental,Slip Cover,Hologram,Id,Barcode,IMDB,Collection Id,Series,Publisher,Studio,Vihkonen,Kohtausluettelo,2 Sided Disc,2 Sided Cover
yes,The Way Back,,2010,Movie,Blu-ray,,Nordic,,1,yes,no,,0,Peter Weir,Owned,Excellent,,no,no,no,no,3437,5706140597442,tt1023114,,,,,,,,
yes,The Way of the Gun,Tuhon Tiellä,2000,Movie,DVD,,Finland,,1,yes,no,,0,Christopher McQuarrie,Owned,Excellent,,no,no,no,no,2741,5706550022626,tt0202677,,,,,,,,
yes,The Way Way Back,,2013,Movie,Blu-ray,,Nordic,,1,yes,no,1.85:1,103,"Nat Faxon, Jim Rash",Owned,Excellent,,no,no,no,no,4683,5706140572906,tt1727388,,,,,,,,
yes,The Weather Man,Säämies,2005,Movie,DVD,,Finland,,1,yes,no,1.85:1,97,Gore Verbinski,Owned,Good,,no,no,no,no,806,6420201150009,tt0384680,,,,,,,,
yes,The Weight of Water,,2000,Movie,DVD,,Finland,,1,yes,no,,114,Kathryn Bigelow,Owned,Good,,no,no,no,no,2291,6416335176718,tt0210382,,Rakkautta ja anarkiaa,,,,,,
yes,The Whistleblower,,2010,Movie,DVD,,United Kingdom,,1,no,no,1.85:1,107,Larysa Kondracki,Owned,Still Wrapped,,no,no,no,no,3677,5022153101590,tt0896872,,,,,,,,
yes,The Whistleblower,,2010,Movie,DVD,,Nordic,,1,yes,no,2.35:1,111,Larysa Kondracki,Owned,Fair,,no,no,no,no,5737,5706141784063,tt0896872,,,,,no,no,no,
yes,The Whole Nine Yards,,2000,Movie,DVD,,Nordic,,1,yes,no,,0,Jonathan Lynn,SaleOrTrade,Excellent,,no,no,no,no,3026,5706147950561,tt0190138,,,,,,,,
yes,The Whole Nine Yards,Koko Potti,2000,Movie,DVD,,Finland,,1,yes,no,1.78:1,89,Jonathan Lynn,Owned,Good,,no,no,no,no,7053,5706132350567,tt0190138,,,,,no,no,no,
yes,The Wicker Man,,2006,Movie,DVD,,Finland,,1,yes,no,2.35:1,103,Neil LaBute,Owned,Fair,,no,no,no,no,4993,5706132388072,,,,,,no,no,no,
yes,The Wicker Man,,1973,Movie,DVD,Director's Cut,United Kingdom,,2,no,no,1.85:1,84,Robin Hardy,Owned,Poor - Slightly Damaged,,no,no,no,no,94,7321900382816,tt0070917,,,,,,,,
no,The Wicker Man,,1973,Movie,Blu-ray,40th Anniversary Edition,United Kingdom,,3,no,yes,1.85:1,94,Robin Hardy,Owned,,,no,no,no,no,7961,5055201823328,tt0070917,,,,,no,no,no,
yes,The Wild,Aivan Villit,2006,Movie,DVD,,Finland,,1,yes,yes,1.78:1,78,Steve 'Spaz' Williams,Owned,Good,,no,no,yes,no,2372,8717418092429,,,,,,,,,
yes,The Wild,Aivan Villit,2006,Movie,Blu-ray,,Finland,,1,yes,yes,1.85:1,82,Steve 'Spaz' Williams,Owned,Good,,no,no,no,no,2973,8717418121556,tt0405469,,Walt Disney klassikot,,,,,,
